"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"J";-1;"212405";"101";"9";29;0;79;"1";"3";"0";"1";"40";"0";"0";"9";8200;"10";"0"
"202001";"J";-1;"317110";"101";"9";31;40;3;"3";"1";"0";"1";"40";"0";"0";"0";11000;"9";"0"
"202001";"J";-1;"212405";"101";"9";32;40;11;"1";"1";"0";"1";"31";"0";"0";"0";7000;"7";"0"
"202001";"J";-1;"212405";"101";"8";41;43;2;"6";"1";"0";"1";"40";"0";"0";"0";1500;"6";"0"
"202001";"N";-1;"212405";"106";"7";35;44;2;"1";"1";"0";"1";"43";"0";"0";"0";2100;"9";"0"
"202001";"M";-1;"212405";"101";"9";37;44;19;"6";"1";"0";"1";"31";"0";"0";"0";13750;"6";"0"
"202001";"G";-1;"317110";"101";"8";23;44;18;"1";"1";"0";"1";"40";"0";"0";"0";7468,75;"10";"0"
"202001";"N";-1;"212405";"101";"9";33;40;6;"1";"1";"0";"1";"40";"0";"0";"0";1675,56994628906;"2";"0"
"202001";"J";-1;"212405";"101";"80";43;40;12;"6";"3";"0";"1";"40";"0";"0";"0";1800;"7";"0"
"202001";"J";-1;"212405";"101";"9";24;40;15;"2";"1";"0";"1";"40";"0";"0";"0";7276,81982421875;"9";"0"
"202001";"J";-1;"212405";"101";"9";52;40;48;"1";"1";"0";"1";"31";"0";"0";"0";2224,64990234375;"8";"0"
"202001";"J";-1;"212405";"101";"8";48;40;35;"1";"3";"0";"1";"31";"0";"0";"0";2038,97998046875;"10";"0"
"202001";"G";-1;"212405";"999";"7";34;40;13;"2";"1";"0";"1";"40";"0";"0";"0";1675,56005859375;"3";"0"
"202001";"J";-1;"212405";"101";"9";23;40;12;"1";"1";"0";"1";"31";"0";"0";"0";5008,580078125;"4";"0"
"202001";"N";-1;"317110";"101";"7";28;44;123;"6";"1";"0";"1";"31";"0";"0";"0";4044,669921875;"5";"0"
"202001";"J";-1;"317110";"101";"9";30;40;15;"1";"1";"0";"1";"40";"0";"0";"0";3270,40991210938;"10";"0"
"202001";"J";-1;"212405";"101";"9";47;40;4;"1";"1";"0";"1";"31";"0";"0";"0";9000;"7";"0"
"202001";"N";-1;"212405";"101";"9";22;44;8;"1";"1";"0";"1";"31";"0";"0";"0";2300;"10";"0"
"202001";"G";-1;"212405";"101";"10";29;44;4;"1";"1";"0";"1";"40";"0";"0";"0";8246;"10";"0"
"202001";"J";-1;"317110";"101";"80";32;40;8;"3";"1";"0";"1";"40";"0";"0";"0";12226,2001953125;"10";"0"
"202001";"G";-1;"212405";"101";"9";55;44;253;"1";"1";"0";"1";"40";"0";"0";"0";6169;"7";"0"
"202001";"G";-1;"212405";"101";"9";33;40;23;"3";"1";"0";"1";"31";"0";"0";"0";2569,669921875;"7";"0"
"202001";"J";-1;"212405";"999";"9";47;40;8;"1";"3";"0";"1";"31";"0";"0";"0";2043,43005371094;"6";"0"
"202001";"S";-1;"212405";"101";"9";22;44;1;"1";"1";"0";"1";"31";"0";"0";"0";2600;"4";"0"
"202001";"J";-1;"212405";"999";"8";23;40;4;"1";"1";"0";"1";"40";"0";"0";"0";2902,40991210938;"5";"0"
"202001";"G";-1;"212405";"101";"7";36;44;1;"3";"1";"0";"1";"40";"0";"0";"0";1500;"5";"0"
"202001";"J";-1;"212405";"101";"9";35;40;60;"1";"1";"0";"1";"40";"0";"0";"0";16642;"7";"0"
"202001";"J";-1;"212405";"101";"9";24;40;9;"6";"1";"0";"1";"31";"0";"0";"0";6852,259765625;"6";"0"
"202001";"J";-1;"212405";"101";"7";28;0;16;"1";"1";"0";"1";"40";"0";"0";"9";5513,9599609375;"10";"0"
"202001";"J";-1;"212405";"101";"80";41;40;28;"1";"1";"0";"1";"40";"0";"0";"0";5044;"10";"0"
"202001";"J";-1;"317110";"999";"7";27;44;2;"3";"1";"0";"1";"45";"0";"0";"0";2147,21997070312;"3";"0"
"202001";"J";-1;"212405";"101";"9";51;40;30;"1";"1";"0";"1";"31";"0";"0";"0";14330;"6";"0"
"202001";"N";-1;"212405";"101";"9";47;0;37;"1";"1";"0";"1";"40";"0";"0";"9";16851;"9";"0"
"202001";"M";-1;"212405";"101";"9";25;40;14;"2";"1";"0";"1";"40";"0";"0";"0";11000;"10";"0"
"202001";"N";-1;"212405";"106";"7";38;35;5;"3";"1";"0";"1";"43";"0";"0";"0";1800;"9";"0"
"202001";"Q";-1;"212405";"101";"80";27;44;21;"3";"1";"0";"1";"40";"0";"0";"0";7223,4599609375;"8";"0"
"202001";"N";-1;"212405";"101";"9";28;40;17;"1";"3";"0";"1";"31";"0";"0";"0";1960;"9";"0"
"202001";"J";-1;"317110";"101";"9";21;44;12;"1";"1";"0";"1";"40";"0";"0";"0";3500;"4";"0"
"202001";"J";-1;"212405";"101";"9";22;40;16;"1";"1";"0";"1";"40";"0";"0";"0";1675,56005859375;"6";"0"
"202001";"S";-1;"212405";"101";"7";26;44;1;"1";"1";"0";"1";"40";"0";"0";"0";8324;"9";"0"
"202001";"J";-1;"212405";"101";"9";25;40;41;"1";"1";"0";"1";"31";"0";"0";"0";3000;"2";"0"
"202001";"J";-1;"212405";"101";"9";56;40;27;"1";"1";"0";"1";"31";"0";"0";"0";10151,509765625;"10";"0"
"202001";"N";-1;"212405";"101";"8";23;44;12;"1";"3";"0";"1";"31";"0";"0";"0";2350;"3";"0"
"202001";"G";-1;"317110";"101";"9";22;44;3;"1";"1";"0";"1";"40";"0";"0";"0";2400;"4";"0"
"202001";"J";-1;"212405";"101";"8";23;40;23;"1";"1";"0";"1";"31";"0";"0";"0";1800;"4";"0"
"202001";"S";-1;"212405";"999";"9";36;42;52;"1";"3";"0";"1";"40";"0";"0";"0";4043,580078125;"6";"0"
"202001";"F";-1;"212405";"101";"9";46;44;55;"1";"1";"0";"1";"40";"0";"0";"0";13137,48046875;"9";"0"
"202001";"G";-1;"317110";"101";"80";38;44;128;"3";"3";"0";"1";"40";"3";"0";"0";9581,73046875;"10";"0"
"202001";"J";-1;"317110";"101";"8";30;44;2;"2";"3";"0";"1";"31";"0";"0";"0";8000;"6";"0"
"202001";"J";-1;"212405";"999";"9";33;40;7;"1";"3";"0";"1";"31";"0";"0";"0";2278,5;"6";"0"
"202001";"N";-1;"212405";"101";"9";36;40;10;"1";"3";"0";"1";"31";"0";"0";"0";2558,80004882812;"5";"0"
